time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,mean_f
148, 3229, 1.026014, 0.000000, 0.796222, 0.003543, 0.223289,0.776711,0.002619,0.000924,-0.453134,-0.593941,0.000000
149, 2554, 1.989820, 0.000000, 1.619029, 0.002581, 0.012921,0.631950,0.000568,0.002013,-0.456272,-0.594951,0.000000
150, 2547, 2.973695, 0.000000, 1.630546, 0.004038, 0.007067,0.012956,0.001028,0.003010,-0.453406,-0.587238,0.000000
151, 2549, 3.954884, 0.000000, 1.632405, 0.003438, 0.983915,0.011769,0.001465,0.001974,-0.454354,-0.589295,0.000000
152, 4138, 1.021025, 0.000000, 0.532141, 0.002709, 0.479459,0.516191,0.001173,0.001537,-0.454174,-0.597382,0.000000
153, 2184, 2.004579, 0.000000, 1.567766, 0.004789, 0.018773,0.571886,0.001694,0.003094,-0.463722,-0.616520,0.000000
154, 2181, 2.964237, 0.000000, 1.560293, 0.001921, 0.016965,0.008712,0.000553,0.001369,-0.465245,-0.611184,0.000000
155, 2172, 3.947974, 0.000000, 1.567219, 0.002075, 0.987109,0.006906,0.001425,0.000649,-0.465496,-0.615652,0.000000
156, 3402, 1.016461, 0.000000, 0.386831, 0.001305, 0.623163,0.374192,0.000556,0.000749,-0.466089,-0.632848,0.000000
157, 1309, 1.999236, 0.000000, 1.526356, 0.003643, 0.025974,0.539343,0.001528,0.002115,-0.510156,-0.628070,0.000000
158, 1295, 2.969884, 0.000000, 1.533591, 0.005125, 0.018533,0.006178,0.003520,0.001605,-0.509686,-0.619218,0.000000
159, 1285, 3.958755, 0.000000, 1.542412, 0.002819, 0.992218,0.007782,0.000938,0.001881,-0.510913,-0.628452,0.000000
