time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,mean_f
112, 1711, 1.012274, 0.000000, 0.985389, 0.000000, 0.014611,0.985389,0.000000,0.000000,-0.764237,-0.668992,0.000000
113, 1698, 2.014134, 0.000000, 1.785630, 0.000000, 0.007067,0.792697,0.000000,0.000000,-0.764530,-0.667614,0.000000
114, 1698, 3.007067, 0.000000, 1.785630, 0.000000, 0.007067,0.000000,0.000000,0.000000,-0.761905,-0.668247,0.000000
115, 1692, 4.000000, 0.000000, 1.791962, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.765986,-0.667449,0.000000
116, 3044, 1.011827, 0.000000, 0.785808, 0.000000, 0.214192,0.785808,0.000000,0.000000,-0.762425,-0.669817,0.000000
117, 2399, 2.005836, 0.000000, 1.639016, 0.000000, 0.002918,0.641934,0.000000,0.000000,-0.756859,-0.684024,0.000000
118, 2396, 3.001669, 0.000000, 1.641068, 0.000000, 0.001669,0.000000,0.000000,0.000000,-0.760863,-0.681611,0.000000
119, 2403, 4.000000, 0.000000, 1.636288, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.758356,-0.682137,0.000000
120, 3942, 1.007610, 0.000000, 0.545408, 0.000000, 0.454592,0.545408,0.000000,0.000000,-0.758230,-0.677347,0.000000
121, 2163, 2.012020, 0.000000, 1.589459, 0.000000, 0.006010,0.595469,0.000000,0.000000,-0.737178,-0.681841,0.000000
122, 2164, 3.006470, 0.000000, 1.588725, 0.000000, 0.006470,0.000000,0.000000,0.000000,-0.731904,-0.685931,0.000000
123, 2164, 4.000000, 0.000000, 1.588725, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.736337,-0.681499,0.000000
124, 3454, 1.013897, 0.000000, 0.385929, 0.000000, 0.614071,0.385929,0.000000,0.000000,-0.729483,-0.687876,0.000000
125, 1341, 2.011931, 0.000000, 1.563013, 0.000000, 0.005966,0.568978,0.000000,0.000000,-0.714735,-0.684573,0.000000
126, 1344, 3.008185, 0.000000, 1.559524, 0.000000, 0.008185,0.000000,0.000000,0.000000,-0.705368,-0.687586,0.000000
127, 1338, 4.000000, 0.000000, 1.566517, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.710897,-0.688362,0.000000
128, 2108, 1.017078, 0.000000, 0.982922, 0.000000, 0.017078,0.982922,0.000000,0.000000,-0.712678,-0.689893,0.000000
129, 2079, 2.006734, 0.000000, 1.781626, 0.000000, 0.003367,0.784993,0.000000,0.000000,-0.712322,-0.696721,0.000000
130, 2080, 3.003846, 0.000000, 1.780769, 0.000000, 0.003846,0.000000,0.000000,0.000000,-0.713980,-0.692534,0.000000
131, 2079, 4.000000, 0.000000, 1.781626, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.713705,-0.694007,0.000000
132, 3712, 1.006466, 0.000000, 0.747306, 0.000000, 0.252694,0.747306,0.000000,0.000000,-0.712044,-0.696126,0.000000
133, 2789, 2.010757, 0.000000, 1.610613, 0.000000, 0.005378,0.615991,0.000000,0.000000,-0.710471,-0.689029,0.000000
134, 2784, 3.003592, 0.000000, 1.613506, 0.000000, 0.003592,0.000000,0.000000,0.000000,-0.711734,-0.689908,0.000000
135, 2784, 4.000000, 0.000000, 1.613506, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.714996,-0.691093,0.000000
136, 4500, 1.005333, 0.000000, 0.490222, 0.000000, 0.509778,0.490222,0.000000,0.000000,-0.716936,-0.693010,0.000000
137, 2216, 2.009025, 0.000000, 1.531588, 0.000000, 0.004513,0.536101,0.000000,0.000000,-0.731797,-0.688292,0.000000
138, 2220, 3.006306, 0.000000, 1.528829, 0.000000, 0.006306,0.000000,0.000000,0.000000,-0.727602,-0.687217,0.000000
139, 2218, 4.000000, 0.000000, 1.530207, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.727314,-0.688672,0.000000
140, 3402, 1.007055, 0.000000, 0.340682, 0.000000, 0.659318,0.340682,0.000000,0.000000,-0.732089,-0.694031,0.000000
141, 1165, 2.010300, 0.000000, 1.584549, 0.000000, 0.005150,0.589700,0.000000,0.000000,-0.714830,-0.703094,0.000000
142, 1172, 3.011092, 0.000000, 1.575085, 0.000000, 0.011092,0.000000,0.000000,0.000000,-0.712536,-0.699175,0.000000
143, 1169, 4.000000, 0.000000, 1.579127, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.712792,-0.700656,0.000000
144, 1862, 1.025779, 0.000000, 0.983351, 0.000000, 0.016649,0.983351,0.000000,0.000000,-0.721697,-0.688217,0.000000
145, 1842, 2.011944, 0.000000, 1.786102, 0.000000, 0.005972,0.792074,0.000000,0.000000,-0.723492,-0.688271,0.000000
