"V3","V4","V102","V103","V104","V105"
106,55,2.158703,3.601766,1.233717,-0.506504
103,48,2.895291,3.224283,2.137945,-1.265001
101,21,1.501036,4.255423,2.727504,-1.998031
102,9,3.033036,5.208707,3.571489,-1.820766
96,16,4.781688,4.286086,3.095386,-1.011719
47,13,4.834618,2.272092,-0.86676,2.135895
52,2,5.692122,3.067401,-2.556444,4.502282
42,35,4.189767,3.841153,-1.274592,2.926914
117,63,3.105336,2.155585,1.413936,-0.896382
102,47,2.918794,2.560313,2.42337,-1.813789
93,61,3.067352,3.140502,2.132108,-1.224171
88,67,2.646381,2.736188,1.439348,-0.8708
56,19,2.323273,3.656281,-2.249755,3.06226
47,26,4.839205,3.735198,-0.820786,2.69478
44,69,5.811635,4.208299,-1.452737,3.919585
55,72,7.036454,3.333127,-1.088301,3.694606
94,50,2.376013,4.836831,1.986483,-0.660338
81,58,2.978904,4.034188,1.979329,-0.737929
102,64,2.418915,3.180385,1.194215,-0.535685
82,2,3.072292,4.022972,2.955458,-1.678929
90,14,3.0928,3.06066,1.952763,-1.06624
111,24,4.088682,3.302846,2.917288,-1.522924
120,16,3.89051,4.476193,3.204546,-1.407111
122,21,3.918741,3.958795,3.000485,-1.405269
94,24,2.684783,2.658351,2.45753,-1.903086
65,117,4.128069,2.522588,2.152615,-1.064294
16,72,3.974886,4.969291,-1.361497,3.390902
35,77,2.335916,3.128078,-1.127454,1.728061
19,0,4.700897,3.649817,-1.128979,2.911829
26,5,3.194233,4.275909,-0.831539,2.257274
87,15,3.695918,2.625262,0.57564,0.375546
30,106,3.364804,2.559634,-1.352145,2.138348
26,102,2.644072,4.124191,-1.121132,2.258651
8,10,4.551248,2.589901,-0.294238,1.579131
17,55,2.673223,4.050922,-1.827728,2.94511
71,16,3.095489,3.804993,-2.16337,3.352649
56,20,4.23473,5.404861,-0.906541,3.221858
127,23,3.520341,1.524958,2.419267,-1.99151
117,40,1.527839,2.417197,0.155791,-0.176378
121,27,3.764315,1.379929,1.829861,-1.363335
126,32,2.217878,2.89931,2.073788,-1.611745
126,27,3.22673,3.655539,2.435299,-1.248574
96,81,3.096651,3.110654,1.819583,-0.910716
97,8,4.471352,2.57491,2.317236,-1.067028
96,8,3.548567,4.311922,2.649364,-1.059431
86,5,3.96578,2.927378,2.632922,-1.44341
93,113,4.636992,3.268275,2.114029,-0.51019
83,109,3.85493,3.768057,3.000299,-1.509704
71,123,4.310188,3.134532,2.830789,-1.414978
74,125,4.519884,3.766926,2.447783,-0.685287
61,60,1.240525,3.3842,-0.149509,0.410552
60,37,3.584979,3.969978,-0.2883,1.747332
114,52,4.394244,3.721837,2.090038,-0.398851
116,56,3.789845,3.197142,2.427062,-1.198409
58,124,3.739791,2.6332,1.78141,-0.806124
59,126,0.732381,2.346523,1.150762,-1.523933
95,23,2.389436,4.908126,2.007489,-0.646881
98,28,2.701266,2.567825,1.078999,-0.557099
95,23,3.398587,4.88769,3.677019,-1.909898
87,8,3.407279,4.590863,3.121933,-1.474561
92,20,3.87156,3.343044,3.255318,-1.932896
94,24,4.210838,2.964777,3.559356,-2.252719
58,106,2.585347,2.220306,1.392259,-1.060177
83,123,3.949456,2.645304,1.252477,-0.18765
82,126,1.852557,5.245063,2.455631,-1.174461
72,122,3.913433,2.18468,0.463977,0.395095
76,127,3.606783,3.830621,2.506562,-1.090744
61,119,3.213741,2.969854,2.919819,-2.019067
66,117,3.522096,3.488944,2.906245,-1.665778
86,10,4.113585,2.818617,1.961557,-0.758122
45,76,3.587366,4.156206,-0.439094,1.975938
95,11,2.964619,4.531973,2.424813,-0.984023
3,53,2.861675,3.781712,-0.478976,1.564323
7,57,3.648435,3.495467,-1.654747,2.942194
66,109,3.39803,1.131701,1.937423,-1.722694
61,107,4.452603,2.093548,1.972852,-0.930203
54,62,2.483801,4.60662,-1.920765,3.191415
109,70,2.594308,2.532698,1.329731,-0.86543
110,80,2.604913,3.337377,1.059626,-0.259696
122,66,3.574561,2.754302,1.043667,-0.087496
86,91,3.026987,3.271082,2.201221,-1.254995
87,7,4.269721,2.458084,1.899563,-0.78043
86,6,2.120706,1.669256,-0.86068,0.772621
17,29,3.5385,5.251382,-1.853284,3.819502
7,24,2.632255,6.018344,-0.280416,2.194748
102,15,3.70369,2.873321,0.888182,0.168681
125,24,2.307713,2.752187,2.644033,-2.205357
119,26,3.30552,2.574103,2.639935,-1.866535
57,120,1.906301,2.011724,0.985869,-1.017499
67,114,3.576533,3.826286,2.045427,-0.644935
77,16,2.673516,6.405596,3.359639,-1.263062
87,13,2.195147,2.836043,-0.183128,0.607166
97,68,3.750397,2.949854,2.287931,-1.178388
84,15,3.315979,4.705151,2.718993,-1.062244
85,7,3.524716,5.052228,3.269843,-1.383891
85,39,2.80046,3.447615,1.781326,-0.855645
124,31,2.40144,2.788196,2.144605,-1.65356
108,69,2.696893,1.869626,0.960632,-0.729133
90,7,3.489158,5.151102,3.505053,-1.592417
88,5,3.76896,3.480734,3.375164,-2.038369
101,18,2.334832,2.423808,1.965691,-1.651978
18,16,5.02147,1.369346,-1.416071,2.388869
71,127,4.654043,2.684745,2.286263,-0.917005
34,56,2.440594,2.436426,-0.448231,0.808473
30,50,3.633996,3.338507,-1.157226,2.374921
91,10,3.296291,4.43872,3.240697,-1.700854
96,8,3.62818,3.526186,2.710611,-1.412538
104,24,4.614671,2.546218,1.80002,-0.504013
86,10,1.998918,4.563352,1.327819,-0.27
38,11,3.771409,3.757755,-0.535546,1.983173
78,120,4.035822,3.472123,2.087288,-0.64491
86,96,3.178631,2.537841,1.732372,-1.025758
55,72,3.868392,4.317981,-1.786009,3.50208
44,18,4.692257,4.761287,-2.462536,4.697395
47,25,4.042575,5.480082,-2.909223,5.175655
117,27,4.316181,3.291543,1.972093,-0.490962
119,27,3.255007,3.176529,2.283432,-1.282821
48,122,2.668268,1.006373,0.540956,-0.676725
35,91,5.808379,4.184511,-0.623972,3.080874
42,82,3.198842,4.537197,-2.507653,4.040192
84,64,3.099564,4.270271,2.923487,-1.534421
85,66,3.503505,3.26627,2.723551,-1.583745
111,120,3.117379,2.050569,0.85584,-0.376852
92,72,4.342117,2.033694,1.76296,-0.79024
87,45,3.253507,3.606107,2.780388,-1.602759
96,43,3.37864,3.36525,2.866348,-1.737023
106,69,3.885882,1.753928,1.320939,-0.649793
115,14,2.828612,2.27488,2.212395,-1.758046
70,96,3.024068,3.178317,2.850063,-1.94219
61,107,3.505395,1.555719,1.739472,-1.305536
106,55,3.968627,3.060786,2.378569,-1.133659
64,121,3.657434,3.78011,1.877083,-0.461887
98,23,2.372502,4.312504,2.215482,-1.107453
99,18,3.978162,3.025353,3.312647,-2.077461
107,23,4.610872,2.555761,2.667499,-1.368475
118,66,1.785157,3.635623,2.286384,-1.697157
121,51,3.774516,3.833181,1.907335,-0.423616
90,14,2.730871,2.319704,1.818983,-1.386499
79,15,3.787229,2.087534,0.842802,-0.075462
82,9,4.175264,1.721765,1.787276,-1.011532
22,47,3.578579,4.481065,-1.096644,2.762652
21,48,2.967233,3.257253,-0.645651,1.557853
29,88,5.41873,4.008503,-1.366693,3.59062
28,94,5.43559,5.661212,-0.800191,3.714207
15,35,4.47528,3.15096,-1.83711,3.320283
6,33,3.290269,3.021196,-0.925868,1.873472
62,115,4.632293,2.006598,1.772203,-0.690873
57,108,2.058057,4.542322,2.468362,-1.392758
41,74,4.339266,1.507239,-0.035084,0.787486
36,86,4.076986,3.557357,-0.549515,2.039312
14,64,2.865297,2.837335,-0.909077,1.605623
99,27,2.426807,2.384851,2.317941,-1.982179
100,23,-0.043091,2.538264,0.396924,-1.009659
108,61,3.604442,2.622101,1.574712,-0.661583
92,48,5.127012,2.755171,2.361422,-0.769707
96,52,4.33225,2.008626,2.831714,-1.871939
73,11,2.029565,6.782753,2.514166,-0.526523
112,77,3.335349,2.830672,1.275356,-0.385188
112,81,5.333288,2.10984,1.896196,-0.486506
89,57,3.26941,3.664596,1.102101,0.104504
93,51,0.848877,3.395655,0.879794,-0.772615
122,52,2.762752,1.366521,1.440368,-1.388982
30,5,5.047824,2.622462,-1.940956,3.440789
18,14,3.359354,4.996853,-2.211826,3.999816
107,114,3.021983,2.656444,2.781449,-2.08986
63,120,2.303194,1.061742,0.945718,-1.207146
96,23,3.748324,3.633061,3.188184,-1.795675
84,19,4.227717,3.456321,3.06798,-1.552908
80,57,3.082622,3.35806,2.002145,-0.99743
78,44,2.415114,3.751436,1.602586,-0.708889
124,19,2.109541,4.601237,1.144416,-0.025281
62,12,1.594827,4.660977,-1.678849,2.608043
60,25,1.962062,5.072112,-1.748789,2.998043
60,56,1.009987,3.186862,-0.406831,0.492074
59,123,1.996799,2.765574,0.858281,-0.542049
0,86,2.790309,4.11302,-1.885536,3.077975
117,77,2.227479,3.083315,1.328501,-0.787312
92,3,4.186626,1.468801,2.765378,-2.087022
88,1,3.374437,4.474601,2.701028,-1.115032
82,3,4.097793,2.053803,2.563125,-1.681017
85,125,5.859497,3.703771,3.229756,-0.946314
101,119,4.867047,3.180141,2.653339,-0.991437
7,52,3.858974,4.632029,-0.359769,2.204321
3,53,3.473146,2.9306,-0.744763,1.729278
49,75,1.440359,5.195861,-1.701289,2.788445
55,62,3.416645,3.244498,0.094973,0.99688
86,24,3.11295,2.87154,1.607883,-0.792341
82,11,3.404287,3.277652,2.990524,-1.886556
62,50,3.603887,2.673284,-0.46232,1.394816
67,50,3.413103,1.671564,-0.362864,0.80461
94,101,3.753223,2.394936,1.561594,-0.680965
60,122,4.408068,3.379281,2.356643,-0.800423
